route_id,route_name,route_order,node_id,ars_id,station_name,longitude,latitude
100100269,5537,21,117000066,18152,홈플러스금천점,126.897671,37.468914
107000005,9409,21,206000002,7018,너더리육교,127.0996426942,37.3880543049
100100189,2014,21,103000080,4179,성동구민종합체육센터,127.0448960891,37.5460719745
100100273,5616,21,120000235,21337,난곡공영차고지,126.918963,37.463938
100100008,103,21,107000089,8179,보문역,127.0189209428,37.5858514183
100100330,6712,21,115000156,16253,블루나인비지니스센터,126.8637439355,37.5562428349
100100138,1120,21,109000128,10213,쌍문동현대.한양아파트,127.0313205806,37.6580003804
100100332,6715,21,115000039,16135,가양역.마포중고등학교,126.8542038866,37.5589275113
116900011,구로04,21,116000118,17208,대원주유소,126.8561852068,37.4873583985
100100389,9401,21,206000530,47631,백현마을2단지,127.1182792853,37.3920771309
120900005,관악01,21,120000141,21243,구암중학교,126.948341,37.492466
121900013,서초13,21,121900228,22865,제약회관,127.001793367,37.482328536
112900005,서대문13,21,112000411,13917,홍제역.1번출구,126.944047791,37.5890349366
100100102,661,21,210000356,46033,온세미,126.784868633,37.5116877889
100100299,6617,21,114000153,15256,양천구청.양천보건소,126.8661628949,37.5181625662
100100303,6625,21,114000152,15255,목동8단지지하도,126.866912,37.52005
100100458,462,21,204000100,48031,중앙시장,127.134080659,37.4416769328
100100148,1132,21,110000692,11174,서울과학기술대학교후문,127.083299,37.632518
100100313,6638,21,116000078,17164,개봉사거리,126.8573774345,37.4972517923
100100155,1140,21,110000304,11405,불암고등학교,127.0805749976,37.6485021744
100100181,1224,21,110000347,11448,하계장미아파트,127.0688040917,37.634078815
100100255,5519,21,120000216,21318,동작마트,126.938032,37.474938
100100253,5516,21,120000043,21144,신성초등학교,126.937427,37.471078
100100259,5523,21,120000086,21188,e편한세상서울대입구아파트,126.942933,37.479723
124000038,342,21,124000084,25184,일자산입구.둔촌도서관,127.149623,37.531993
100100582,351,21,124000099,25204,보훈회관,127.1452995611,37.5264562493
100100149,1133,21,109000199,10287,신화초교입구,127.0400822024,37.6334072452
100100302,6624,21,114000106,15209,양천구청역,126.866609,37.512871
100100150,1135,21,110000315,11416,하계역,127.067785,37.637387
100100260,5524,21,120000127,21229,롯데관악점,126.925162,37.48973
122900001,강남07,21,122000364,23481,경남아파트,127.0413200765,37.4889759836
100100151,1136,21,110000025,11125,한보아파트.삼익아파트,127.0804798611,37.6275466907
100100143,1127,21,109000177,10263,창림초등학교후문,127.040335,37.643407
100100048,272,21,105000018,6101,신설동역,127.0255836506,37.576453593
100100110,710,21,100000104,1200,안국역.인사동,126.984133,37.575798
100100134,1114,21,107000240,8338,청소년문화의집.정릉e편한세상,127.0089068708,37.6151911012
100100206,2235,21,106000160,7255,지하철7호선중화역2번출구,127.0806830436,37.6016944246
100100598,2115,21,106000160,7255,지하철7호선중화역2번출구,127.0806830436,37.6016944246
100100049,273,21,105000185,6271,경희대입구,127.052713,37.591583
100100145,1129,21,110000172,11272,상계주공14단지,127.056828,37.669103
100100154,1139,21,110000172,11272,상계주공14단지,127.056828,37.669103
114000002,8641,21,118000164,19249,신풍역.백악관웨딩문화원앞,126.9100850037,37.5013238443
100100407,240,21,106000079,7173,면목본동주민센터.면목정보도서관,127.0880980871,37.5865148002
100100144,1128,21,108000110,9198,강북중학교,127.0235480508,37.6448419212
100100251,5513,21,120000143,21245,벽산아파트.적십자남부봉사관,126.946532,37.492953
100100204,2233,21,105000176,6262,구민회관앞,127.073943,37.566387
100100107,704,21,218000241,35087,제3697공병부대,126.9537685223,37.6665872827
100100525,8772,21,111000140,12239,푸르지오618동앞.관음사입구,126.929232,37.649682
100100194,2211,21,105000055,6141,서울준법지원센터.동성빌라,127.0676702359,37.5856794521
100100091,606,21,210000080,46020,춘의가구거리,126.7895003586,37.5039296939
100100183,1226,21,107000042,8132,월곡역,127.041452,37.60163
120000002,N850,21,121000027,22103,지하철2호선교대역2,127.01538,37.494022
100100354,7723,21,111000918,12431,아이파크701동앞,126.9280934321,37.6460451246
100100341,7022,21,100000037,1132,국민은행세검정지점,126.9608880061,37.6046629766
100100142,1126,21,109000223,10311,태영데시앙아파트,127.0324449266,37.642384365
100100549,100,21,108000100,9188,송중동한일유엔아이,127.0379534336,37.6137499056
104000010,2416,21,105000160,6246,현대벤처빌.현대썬앤빌,127.0694007013,37.5689208635
100100358,7727,21,219000332,36132,신일중학교,126.7754201367,37.6764574603
113900016,마포18,21,113900005,14605,우리기술사옥.한국지역정보개발원,126.887877,37.582262
100100345,7611,21,112000107,13190,래미안루센티아.DMC쌍용,126.918536,37.575566
100100599,2311,21,105000127,6213,장안2동주민센터,127.070461,37.578696
115900003,강서02,21,115900144,16903,골목시장,126.850224658,37.5484752506
100100437,771,21,218000503,35056,원당대림아파트,126.83981003,37.659996196
100100188,2013,21,103000019,4118,성동노인복지관,127.0415861333,37.5649375925
100100164,1154,21,207000283,61051,쌍암사입구,127.0573906086,37.7055372395
104000009,111,21,110000102,11202,수락리버시티아파트,127.0552031453,37.6893310475
112000003,8773,21,112000068,13151,연희3거리,126.93161,37.567933
108000002,1167,21,110000278,11379,상명고등학교,127.0690664892,37.6494835403
100100613,3322,21,123000098,24187,송파책박물관.헬리오시티,127.1044857249,37.5002341376
100100352,7720,21,111000204,12294,불광초등학교,126.9304574428,37.6115701913
100100229,3417,21,123000095,24184,배명중고교,127.0969106203,37.4997098452
100100349,7713,21,112000109,13192,DMC에코자이아파트,126.9195564567,37.5764335942
100100191,2112,21,105000166,6252,장한평역3번출구,127.0654362294,37.5624370636
100100353,7722,21,111000046,12134,은평세무서,126.9266529623,37.6012216354
100100446,7025,21,111000291,12381,녹번역,126.934225,37.600877
100100218,3220,21,104000085,5178,자양초등학교앞,127.078467,37.537947
100100402,9709,21,229000527,63604,말레이지아교,126.7971927706,37.749581881
119900007,동작01,21,119000010,20010,노량진수산시장.CTS기독교TV,126.9388655754,37.5134800797
100100055,340,21,124000055,25155,암사역선사현대아파트,127.127558,37.5507
100100106,703,21,229000989,63869,검전리,126.8492381428,37.8115041647
100100501,3319,21,124000169,25281,강동구청,127.12254,37.530205
100100553,350,21,122000390,23513,신한은행데이터센터,127.043699,37.498146
119900023,동작05-1,21,118900184,19524,강남성심병원.대림성모병원,126.9080614234,37.4913065278
119900011,동작11,21,119900226,20942,노량진한국법학교육원,126.9443313266,37.512353703
119900009,동작08,21,119000009,20009,노량진수산시장.CTS기독교TV,126.938456,37.513423
122900005,강남06,21,122000386,23509,총회회관.휘문고입구,127.065961,37.504256
124000028,N26A,21,100000367,1044,동묘앞,127.0195285734,37.574281529
108900004,강북09,21,108900076,9785,금호.현대아파트,127.0363141169,37.6318694163
108900001,강북11,21,108900071,9791,로얄공인중계사무소,127.0350081615,37.632733949
100100322,6654,21,118000198,19283,유진투자증권,126.926988,37.525532
109900005,도봉09,21,109900048,10737,누원고등학교.한신아파트정문,127.0509577365,37.6858016495
108900005,강북04,21,108900258,9949,한영교회,127.0320253405,37.6231743045
108900003,강북03,21,108900062,9802,한빛맹아학교,127.015161,37.628796
108900008,강북05,21,108900064,9800,한일아파트정문,127.0371221189,37.6139772435
108900011,강북10-1,21,108900065,9799,보람미용실,127.015432518,37.6253402419
108900009,강북10,21,108900065,9799,보람미용실,127.015432518,37.6253402419
108900010,도봉02,21,109900066,10583,쌍문초등학교,127.024913,37.64783
100100506,6006,21,167010602,41999,김포공항IC(가상),126.7925723191,37.5843362309
100100496,333,21,122000299,23406,궁마을,127.097328,37.485427
100100585,N37,21,122000213,23317,매봉역양재최의원,127.0445616798,37.4861642605
100100538,6018,21,161010557,92644,영종대교(가상),126.541634,37.52179043
100100093,640,21,118000563,19300,신길역1호선,126.9166368877,37.5167591036
100100513,6100,21,161010557,92644,영종대교(가상),126.541634,37.52179043
124000013,6103,21,161000332,92606,공항입구JC,126.5083067251,37.506165796
118900002,영등포07,21,118900183,19881,신길보라매SK뷰아파트,126.9198893492,37.5039954584
118900004,영등포02,21,118900076,19685,영은교회,126.888897178,37.5250867538
100100383,8541,21,120000026,21125,예술인마을.사당초등학교,126.973885,37.475937
118900005,영등포03,21,118900075,19684,당산센트럴아이파크아파트,126.902510571,37.5294473708
111900009,은평09,21,111000300,12391,구산동사거리,126.912121,37.614367
100100234,4212,21,104000127,5220,영동대교북단,127.061193,37.536723
100100289,6211,21,118000151,19236,도림동자치회관,126.9076717402,37.5092940284
100100304,6627,21,115000143,16240,가양초등학교,126.85982,37.561717
100100522,2016,21,104000145,5238,KEB.하나은행.군자동.지점,127.0767090775,37.5577085489
106000003,N840,21,122000009,23109,신사역6번출구,127.019435,37.517422
107900014,성북10-1,21,107000191,8287,월곡동두산아파트,127.03659179,37.6066191426
107900018,성북10,21,107000191,8287,월곡동두산아파트,127.03659179,37.6066191426
100100589,N61,21,120000021,21120,KT관악지점,126.9484610699,37.4814828857
100100133,1113,21,107000188,8284,월곡1동주민센터,127.035622,37.61033
100100022,143,21,101000048,2147,남산3호터널,126.98274,37.558312
100100596,400,21,102000189,3283,이태원역.보광동입구,126.994213,37.5334
100100291,6511,21,116900222,17717,구로중학교,126.8901809694,37.4932861016
100100409,421,21,102000188,3282,한국폴리텍1대학,126.996572,37.530532
100100202,2227,21,106000136,7231,농협앞,127.0919968842,37.5894466728
100100073,470,21,112000050,13133,영천시장,126.962027,37.57022
104000012,0411,21,102000195,3289,성촌공원.포르쉐센터용산,126.954351091,37.529747416
100100224,3412,21,124000040,25140,고덕역,127.154997,37.55504
100100584,6010,21,113000460,14682,마포대교북단(가상),126.9396616685,37.5405215516
100100308,6631,21,115000130,16227,가양한강타운아파트,126.843453,37.570403
100100192,2113,21,106000198,7293,신내5단지아파트,127.086246288,37.6165271272
100100318,6645,21,115000143,16240,가양초등학교,126.85982,37.561717
100100076,500,21,120000157,21259,현대시장,126.9465909455,37.4876789537
117900010,금천11,21,117000081,18167,박미마을.금천고등학교,126.903938,37.44301
100100572,6703,21,122000660,23931,노보텔앰배서더호텔,127.0287672149,37.5055113436
115000008,N65,21,115000111,16208,화곡역8번출구,126.8388885788,37.5429294084
115000010,N64,21,115000111,16208,화곡역8번출구,126.8388885788,37.5429294084
109900002,도봉07,21,109000041,10126,쌍문역.쌍리단길,127.034272,37.647535
100100166,2212,21,106000240,7336,동서울교회,127.105257509,37.6115852113
101000005,심야A21,21,113000424,14011,합정역,126.91299,37.549002
110900005,노원03,21,110000345,11446,한천중학교,127.0734430848,37.6309420546
100100156,1141,21,110000032,11132,안마을,127.0794300566,37.6236970732
100100602,6640B,21,116000012,17012,경인중학교.개봉사거리,126.8551547189,37.4973068647
100100158,1143,21,110000173,11273,상계주공12단지,127.057562,37.666492
100100312,6637,21,116000008,17008,동양미래대학.구로성심병원,126.8670186731,37.4993764843
100100307,6630,21,115000121,16218,발산역.우장산힐스테이트,126.8374835698,37.5567655856
100100085,600,21,118000001,19001,문래동남성아파트,126.893705,37.511828
100100146,1130,21,110000206,11306,월계주공2단지,127.0538076332,37.6283500757
116900003,구로10,21,116900183,17772,구일우성아파트,126.8757443597,37.4898288863
100100082,507,21,118000175,19260,대림동우체국,126.9054525686,37.4894382828
100100292,6512,21,118000147,19232,우신초등학교,126.910600282,37.5093088964
100100331,6714,21,114000026,15126,목동성원아파트,126.8631752063,37.5422950368
100100588,N62,21,114000026,15126,목동성원아파트,126.8631752063,37.5422950368
100100087,602,21,114000026,15126,목동성원아파트,126.8631752063,37.5422950368
100100301,6623,21,114000026,15126,목동성원아파트,126.8631752063,37.5422950368
100100248,5012,21,114000396,15119,경서농협,126.856298,37.521363
100100521,6515,21,118000015,19015,대방역,126.9248245911,37.5126573835
100100118,753,21,111000084,12172,증산종합시장.증산중학교입구,126.90615,37.580827
100900010,종로03,21,100900122,1825,창신초교,127.0157200961,37.5760372123
100100346,7612,21,118000192,19277,선유도공원,126.902595,37.542245
114900001,양천01,21,114000046,15148,월촌중학교.목동1단지,126.881672,37.537913
100100440,700,21,218000317,35637,행신초등학교(중),126.8375188793,37.6221391263
100100406,9714,21,218000637,35007,소만마을(중),126.8465890587,37.6176977748
100100178,1221,21,106000202,7297,봉화산역3번출구,127.0929080569,37.616458735
109900006,도봉08,21,109900152,10722,도봉초등학교,127.040717,37.67847
124000032,N16B,21,113000001,14001,마포역,126.947967,37.540947
100100387,8774,21,111000214,12304,신진과학기술고등학교,126.920325,37.59791
115000009,N6002,21,129000025,41602,김포공항IC(가상),126.7942355979,37.5832181343
111000014,761,21,112000102,13185,북가좌삼호.DMC아이파크아파트,126.9133099754,37.5752684365
115900001,강서04,21,115000154,16251,태영.삼성한사랑아파트,126.8654574304,37.5550652684
100100295,5611,21,118900012,19515,우성2차아파트,126.899862,37.495361
100100080,505,21,213000417,38697,신촌마을,126.8909219419,37.4509946024
119900005,서초16,21,121000532,22029,총신대입구역.남성시장입구앞,126.982301,37.487308
100100591,N30,21,124000453,25013,천호역,127.127052,37.537655
100100398,9703,21,219000247,36611,은행마을3단지.일산자이센트리지,126.8076937286,37.6716746853
117000002,N51,21,118000027,19112,경방타임스퀘어.신세계백화점,126.9062396031,37.5175082319
100900005,종로08,21,100000123,1219,방송통신대.이화장,127.002437,37.578043
116000006,703,21,219000034,36613,식사동,126.8101098346,37.6690164674
100100359,7728,21,219000034,36613,식사동,126.8101098346,37.6690164674
100100601,6640A,21,118000004,19004,남부지방법원등기국.구로세무서(에이스하이테크시티),126.8997458122,37.5140403403
122900010,강남06-2,21,122900108,23940,LH이-편한세상,127.101745,37.46752
100100294,6514,21,115000589,16008,강서구청사거리.서울디지털대학교,126.8540843129,37.5552355847
100100201,2224,21,104000107,5200,국민은행신자양지점,127.066874712,37.5355719112
100100088,603,21,114000051,15153,목동5단지B상가.목5동주민센터,126.881295,37.53576
119900021,동작12,21,119900152,20833,삼성래미안.동작청소년문화의집,126.9348170675,37.5055356102
100100412,6001,21,102000007,3007,삼각지역,126.973683,37.535181
100100077,501,21,102000007,3007,삼각지역,126.973683,37.535181
100100184,1227,21,105000014,6014,떡전교사거리.동대문노인복지관,127.0520133159,37.5864447699
100100117,752,21,102000010,3010,숙대입구역,126.9722320769,37.5437560216
100100500,4312,21,122000049,23149,현대아파트,127.0311225746,37.5282986659
100100210,2413,21,122000068,23170,청담역.경기고교,127.056165,37.520982
109900010,노원15,21,110900079,11563,노원구청앞,127.058277,37.653934
100100237,4318,21,122000065,23167,청담동주민센터,127.051348,37.524522
